standard_id,title,short_citation,region,applies_to,notes
ISO_10555-6,Intravascular catheters — Part 6: Subcutaneous implanted ports,ISO 10555-6:2023,Global,Catheters;Implants;Oncology,Requirements for power-injectable ports and septum integrity.
ISO_10555-7,Intravascular catheters — Part 7: Peripherally inserted central catheters (PICC),ISO 10555-7:2023,Global,PICC Lines;Catheters;Vascular,Particular safety and performance benchmarks for PICC systems.
ISO_10555-8,Intravascular catheters — Part 8: Extracorporeal blood treatment catheters,ISO 10555-8:2024,Global,Dialysis Catheters;Extracorporeal;Therapeutic,Standards for high-flow hemodialysis and apheresis catheters.
ISO_14644-12,Cleanrooms — Part 12: Specifications for air cleanliness by nano-scale particle concentration,ISO 14644-12:2021,Global,Facilities;Nanotechnology;Cleanrooms,Requirements for environments sensitive to particles < 100nm.
ISO_14644-15,Cleanrooms — Part 15: Assessment of suitability of equipment by chemical concentration,ISO 14644-15:2017,Global,Facilities;Utilities;Metrology,Validates that equipment outgassing does not exceed chemical limits.
ISO_14698-3,Cleanrooms — Biocontamination control — Part 3: Efficiency of disinfection,ISO 14698-3:2003,Global,Facilities;Cleaning;Decon,Standardized methodology for measuring surface disinfection efficiency.
ASTM_D7386,Practice for Performance Testing of Packages for Single Parcel Delivery Systems,ASTM D7386-16,US,Packaging;Logistics;Validation,PQ protocol for validating sterile kits shipped via individual carriers.
ASTM_D6653,Determining the Effects of High Altitude on Packaging Systems by Vacuum Method,ASTM D6653-13,US,Packaging;Logistics;PQ Studies,PQ method for validating seal integrity during air transport cycles.
CLSI_EP09,Measurement Procedure Comparison and Bias Estimation Using Patient Samples,CLSI EP09-A3,US;Global,IVD Production;Laboratory;Analyzers,Validates bias when changing IVD instruments or reagent lots.
CLSI_EP12,User Protocol for Evaluation of Qualitative Binary Output Examination Performance,CLSI EP12-A2,US;Global,IVD Production;LFA;Laboratory,"Methodology for validating ""Yes/No"" qualitative diagnostic assays."
CLSI_EP15,User Verification of Precision and Estimation of Bias,CLSI EP15-A3,US;Global,IVD Production;Laboratory;Analyzers,Protocols for end-user labs to verify assay precision claims.
CLSI_EP21,Estimation of Total Analytical Error for Clinical Laboratory Measurements,CLSI EP21-A,US;Global,IVD Production;Laboratory;Metrology,Combines bias and precision to validate total allowable error (TAE).
CLSI_EP34,Establishing and Verifying an Extended Measuring Interval,CLSI EP34-A,US;Global,IVD Production;Laboratory;Reagents,Standard for validating dilution and spiking for high-concentration tests.
ISO_11040_4,Prefilled syringes — Part 4: Glass barrels for injectables,ISO 11040-4:2015,Global,Syringes;Filling;Packaging,Requirements for glass primary containers for sterile injectables.
ISO_11040_6,Prefilled syringes — Part 6: Plastic barrels for injectables,ISO 11040-6:2019,Global,Syringes;Filling;Combination Products,Particular requirements for plastic primary containers for sterile injectables.
ISO_7886_3,Sterile hypodermic syringes for single use — Part 3: Auto-disable syringes,ISO 7886-3:2020,Global,Syringes;Assembly;Forming,Performance for immunization syringes with re-use prevention features.
ISO_7886_4,Sterile hypodermic syringes for single use — Part 4: Re-use prevention feature,ISO 7886-4:2018,Global,Syringes;Assembly;Product Testing,Safety requirements for syringes with manual or automatic re-use prevention.
ISO_8536_4,"Infusion equipment for medical use — Part 4: Infusion sets, gravity feed",ISO 8536-4:2019,Global,Infusion;Connectors;Catheters,Safety/performance for gravity-based drug delivery systems.
ISO_1135_4,"Transfusion equipment for medical use — Part 4: Transfusion sets, gravity feed",ISO 1135-4:2025,Global,Transfusion Kits;IVD;HCT/Ps,Standards for gravity-based blood and fluid delivery systems.
IEC_60601_2_1,Medical electrical equipment — Part 2-1: Particular requirements for electron accelerators,IEC 60601-2-1:2020,Global,Radiotherapy;X-ray Generators;Testing,Safety requirements for accelerators in the 1 MeV to 50 MeV range.
IEC_60601_2_6,Medical electrical equipment — Part 2-6: Particular requirements for microwave therapy,IEC 60601-2-6:2016,Global,Therapeutic;Microwave Systems;Lab,Safety for devices used in thermal and radiological therapy.
IEC_80601_2_58,Medical electrical equipment — Part 2-58: Particular requirements for lens removal,IEC 80601-2-58:2024,Global,Ophthalmic;Lens Lathes;Surgery,Safety for active devices used in phacoemulsification and vitreous surgery.
IEC_60601_2_75,Medical electrical equipment — Part 2-75: Particular requirements for photodynamic therapy,IEC 60601-2-75:2017,Global,Therapeutic;Lasers;Dermatology,Safety for equipment used in diagnostic or therapeutic light activation.
ISO_14937,Sterilization — General requirements for sterilizing agent characterization,ISO 14937:2009,Global,Sterilization;VHP;Ozone;Liquid,Requirements for qualifying non-traditional sterilizing agents. 
ISO_11138_8,Sterilization — Biological indicators — Part 8: Reduced incubation time validation,ISO 11138-8:2021,Global,Sterilization;Validation;Incubators,Protocol for justifying 24-hour versus 7-day challenge results. 
ISO_11737_3,Sterilization — Microbiological methods — Part 3: Guidance on use of bioburden data,ISO 11737-3:2023,Global,Sterilization;Bioburden;Validation,Guidance for interpreting and trending microbial counts in PQ stability. 
ISO_15583,Washer-disinfectors — Series Foundation,ISO 15583:2010,Global,Cleaning;Washer-Disinfectors;Reprocessing,High-level series title covering decontamination system requirements. [Image 1]
ISO_11139,Sterilization of health care products — Vocabulary,ISO 11139:2018,Global,Sterilization;All,Standardized terms and definitions used across sterility assurance. 
ISO_15882,"Chemical indicators — Guidance for selection, use and interpretation of results",ISO 15882:2008,Global,Sterilization;Validation;Indicators,Technical requirements for qualifying Type 1-6 indicator use in PQ cycles.
AAMI_TIR37,Radiation — Guidance on sterilization of human tissue-based products,AAMI TIR37:2013,US,Sterilization;HCT/Ps;Biologicals,Particular dosimetry benchmarks for biological graft sterilization. 
AAMI_TIR76,Radiation — Substantiation of dose: Method Vdmax SD-S,AAMI TIR76:2021,US,Sterilization;Gamma;E-Beam,Protocol for validating doses for small batch or single-use kits. 
AAMI_TIR102,U.S. FDA 21 CFR mapping to ISO 13485:2016 requirements,AAMI TIR102:2019,US,Management;Quality Systems,Comprehensive mapping tool for transition from QSR to QMSR. 
AAMI_PB70,Liquid barrier performance and classification of protective apparel,AAMI PB70:2022,US,PPE;Gowns;Cleanroom Suits,Establishes Level 1-4 barrier benchmarks for healthcare textiles.
ISO_25539_1,Cardiovascular implants — Endovascular devices — Part 1: Endovascular prostheses,ISO 25539-1:2017,Global,Stent-grafts;Aortic Grafts,Core requirements for aortic and peripheral graft systems. 
ISO_25539_2,Cardiovascular implants — Endovascular devices — Part 2: Vascular stents,ISO 25539-2:2020,Global,Stents;Nitinol;Cardiovascular,Specific benchmarks for bare metal and drug-eluting vascular stents. 
ISO_25539_3,Cardiovascular implants — Endovascular devices — Part 3: Vena cava filters,ISO 25539-3:2011,Global,VC Filters;Embolic Protection,Benchmarks for implantable filters used to prevent pulmonary embolism.
ASTM_F2081,Standard Guide for Characterization and Presentation of the Dimensional Attributes of Stents,ASTM F2081-06,US,Stents;Metrology;Metrology,"Methodology for measuring stent diameter, length, and wall thickness."
ASTM_F2606,Standard Guide for Three-Point Bending of Balloon-Expandable Vascular Stents,ASTM F2606-08,US,Stents;Mechanical Testing,Measures the flexural rigidity of the stent and its delivery system.
ASTM_F2942,"Standard Guide for In vitro Axial, Bending, and Torsional Durability Testing",ASTM F2942-19,US,Vascular Stents;Fatigue Rigs,Provides protocols for accelerated long-term durability testing.
ISO_15609_4,Specification and qualification of welding procedures for metallic materials — Part 4: Laser beam welding,ISO 15609-4:2009,Global,Laser Welders;Active Implants;Assembly,Standardizes WPS for medical laser joining processes.
ISO_13919_1,"Welding — Electron and laser-beam welded joints — Part 1: Steel, nickel, and titanium",ISO 13919-1:2019,Global,Laser Welders;Surgical Tools;Implants,Defines permissible imperfection levels for high-quality welds.
IEC_62443_4_1,Security for industrial automation and control systems — Part 4-1: Secure product development lifecycle,IEC_62443_4_1:2018,Global,Software;Active Implants;IT Systems,Foundational requirements for the cybersecurity OQ of automated systems.
21_CFR_892_2050,Medical image management and processing system (MIMPS),21 CFR 892.2050,US,Radiology;Imaging Systems;Software,"FDA regulation for software used to store, transfer, and display images. "
ISO_11608_4,Needle-based injection systems for medical use — Part 4: Needles — Requirements and test methods,ISO 11608-4:2022,Global,Needles;Pen Injectors;Therapeutic,Performance requirements for needles intended for automated injectors. 
ISO_11608_5,Needle-based injection systems for medical use — Part 5: Automated functions,ISO 11608-5:2022,Global,Pen Injectors;Autoinjectors;Therapeutic,Safety requirements for needle extension and retraction logic. 
ISO_15708_3,Non-destructive testing — Radiation methods — Computed tomography — Part 3: Interpretation and reporting,ISO 15708-3:2017,Global,Metrology;CT Scanners;Inspection,Guidelines for axial CT scanning and volumetric flaw detection.
ISO_18369_1,Ophthalmic optics — Contact lenses — Part 1: Vocabulary and classification system,ISO 18369-1:2017,Global,Ophthalmics;Contact Lenses;Labeling,Core standard for the manufacture and physical testing of contact lenses.
ISO_10993_19,"Biological evaluation — Part 19: Physico-chemical, morphological and topographical characterization",ISO 10993-19:2020,Global,Biocompatibility;All;Laboratory,Governs the evaluation of surface characteristics on medical materials. 
ISO_10993_16,Biological evaluation — Part 16: Toxicokinetic study design for degradation products and leachables,ISO 10993-16:2017,Global,Biocompatibility;All;Laboratory,Specifies how to track the movement of device leachables in the body. 
ISO_10993_20,Biological evaluation — Part 20: Principles and methods for immunotoxicology testing,ISO 10993-20:2006,Global,Biocompatibility;All;Laboratory,Framework for identifying materials that cause immune system suppression. 
ASTM_F3320,Coating Characterization of Drug Coated Balloons,ASTM F3320-18,US,Cardiovascular;Coating;Balloons,Benchmark for validating drug load and particulate release consistency.
ISO_21474_2,IVD medical devices — Multiplex molecular testing for nucleic acids — Part 2: Validation,ISO 21474-2:2022,Global,IVD Production;Molecular Testing,Requirements for simultaneous detection of multiple nucleic acid targets.
ASTM_E2859,Size Measurement of Nanoparticles Using Atomic Force Microscopy,ASTM E2859-11,US,Metrology;Nanotechnology;Implants,Used to qualify nano-scale surface features on osseointegrated implants.
